Most Mentioned Executives
869 documents  for All Dates

Executive,Document Count
James Dimon,11
Barack Obama,10
Steve Jobs,9
Paulus Gerardus J Polman,8
Robert A Iger,7
Rupert Murdoch,7
Warren Edward Buffett,6
John P Mackey,6
Eric E Schmidt PhD,6
Mark Elliot Zuckerberg,6
Howard D Schultz,6
Timothy Donald Cook,5
Colin Mayer,5
Marc Russell Benioff,4
Kenneth C Frazier,4
John G Stumpf,4
Randall L Stephenson,4
Marc Lowell Andreessen,4
Donald John Trump,4
Brian T Moynihan,4
Chengyu Fu,4
Indra K Nooyi,4
Roger Martin,4
Travis Kalanick,3
Mohamad Najib Abdul Razak,3
John Carney,3
James Rupert Murdoch,3
Vijay Shekhar Sharma,3
Estelle Brachlianoff,3
Margaret Blair,3
Parminder Singh,3
Graeme David Pitkethly,3
Kevin McDearis,3
Michael Richard Pence,3
Narendra Modi,3
Gail Patricia Kelly,3
Mark R Chandler,3
Gavin E Patterson,3
Kevin A Plank MBA,3
Sundar Pichai MBA,3
Ivan G Seidenberg,3
Philip Green,3
Stephen Urquhart,3
Greg Creed,3
Elon Reeve Musk,3
Brian Dietz,3
Mary Teresa Barra,3
Darren Tristano,3
Laurence Douglas Fink,3
Mohamed Nazir bin Abdul Razak,3
Satya Nadella,3
Martin Winterkorn,3
Richard Krulik,2
Katherine Lucy Garrett-Cox,2
John Liu,2
Steve Howard,2
Brian C Cornell,2
Christopher Anthony Hohn MBA,2
David Cameron,2
Jinping Xi,2
Peter H Löscher,2
Marc Spiegler,2
Judith F Samuelson,2
Johannes Peter Huth,2
Alison J Carnwath,2
Nadja Swarovski,2
Marianne Lake,2
Jean Marc Duvoisin,2
Caroline Scheufele,2
Robert Weinstein,2
Kevin Hanley,2
Carl Celian Icahn,2
Maurice Lévy,2
Raynald Aeschlimann,2
Jong Un Kim,2
Albert Arnold Gore Jr.,2
John Anderson Kay,2
John Bernard Sauven,2
Nick Burton,2
Carolyn Julie Fairbairn,2
José María Aznar,2
Natalie Bancroft,2
Nikolas Cruz,2
Claire Divver,2
Hock E Tan,2
Amanda Mackenzie,2
James R Stengel,2
Richard K Davis,2
Jeffrey R Immelt,2
Dennis Jonsson,2
Michael Duke,2
Rube Goldberg,2


Search Summary,
Text,""corporate social responsibility"" and customer*
Date,All Dates
Source,The New York Times - All sources Or The Wall Street Journal - All sources Or Washington Post - All sources Or USA Today - All sources Or Chicago Tribune - All sources Or Financial Times (Available through Third Party Subscription Services) - All sources Or Los Angeles Times - All sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,899
Timestamp,11 May 2018 9:22 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
