Most Mentioned Executives
1204 documents  for All Dates

Executive,Document Count
Barack Obama,12
Mohamad Najib Abdul Razak,8
Donald John Trump,8
Angela Dorothea Merkel,7
Warren Edward Buffett,7
Laurence Douglas Fink,6
Silvio Berlusconi,5
David Cameron,5
Paulus Gerardus J Polman,5
Patrice Motsepe,5
Joseph Jimenez Jr.,5
Kenneth C Frazier,5
Jim Ovia,5
Mohamed Dewji,5
Matamela Cyril Ramaphosa,5
John Forbes Kerry,4
Mark Elliot Zuckerberg,4
James Dimon,4
Howard D Schultz,4
Vladimir Vladimirovich Putin,4
Dmitriy Anatolevich Medvedev,3
William Jefferson Clinton,3
Stephen L Hoffman,3
George F Koob,3
Bharat Vasani,3
Narendra Modi,3
Viktor Orbán,3
Cynthia Blum Carroll,3
Anne McTiernan,3
Mark Shuttleworth,3
William H Gates III,3
William M Daley,3
Rupert Murdoch,3
Gregory Harold Smith,2
Erick Thohir,2
Brian C Cornell,2
Harry Mason Reid,2
Anna Wintour,2
Mark Rutte,2
Francesco Venturini,2
Ivanka Marie Trump,2
Caroline Ramsay,2
Darlene J. S Solomon,2
Hans Jörg Reinhardt,2
Jim O'Neill,2
Robert Weinstein,2
Thomas Albanese,2
Justin Pierre James Trudeau,2
Michael Sean Piwowar,2
Lorna C Donatone,2
Jill Scalamandre,2
Thomas Buberl,2
Michiko Ogawa,2
Michael James Bolingbroke MBA,2
Mark Fishman,2
Paul Massey,2
Mauricio Macri,2
Sean Michael Spicer,2
Andrew Philip Witty,2
Brian K Acton,2
Gustavo A Cisneros,2
Anil Kumar Agarwal,2
Jorma Jaakko Ollila,2
Marc Russell Benioff,2
Leslie Moonves,2
James R Stengel,2
Robert P Pincus,2
Timothy T O'Toole,2
Leo Martin,2
Jeffrey R Immelt,2
Robert A Iger,2
Stephen Alan Michael Hester,2
Vittorio Amedeo Colao MBA,2
Massimo Moratti,2
Jürgen Brokatzky-Geiger,2
John Mills,2
Jonathan David Blum,2
Alan Parker,2
Kazuhiro Tsuga,2
Tim Marshall,2
Jasper Morrison,2
Janice Henry,2
Marcus Ambrose Paul Agius,2
George C Gunn,2


Search Summary,
Text,"""corporate social responsibility"" NOT environment* not employee* not customer* not (supplier* or ""supply chain*"")
"
Date,All Dates
Source,The New York Times - All sources Or The Wall Street Journal - All sources Or Washington Post - All sources Or USA Today - All sources Or Chicago Tribune - All sources Or Financial Times (Available through Third Party Subscription Services) - All sources Or Los Angeles Times - All sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"1,259"
Timestamp,11 May 2018 9:30 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
