Most Mentioned Executives
31843 documents  for All Dates

Executive,Document Count
John D Wren,340
Mark Anthony Fitzgibbon,234
Michelle McPherson,212
Bruce Crawford,212
Randall J Weisenburger,160
Richard Wacker,145
Steven Crane,136
Rajiv Bansal,122
Annette Carruthers,120
Michael P Gianoni,119
Vishal Sikka PhD,104
Nicole McGougan,101
Rana Kapoor MBA,94
Christine Frances McLoughlin,93
U. B Pravin Rao,86
Arvind Thakur,83
Marie De Scorbiac,81
Sujit Sircar,81
Rajesh Gopinathan,79
Brian T Moynihan,74
Philippe Salle,73
Darren Entwistle,72
Vineet Nayyar MBA,71
Francisco D'Souza,64
Ashok Vemuri,63
John G Stumpf,62
Mohammed Ahmed Abdullah,61
William R Johnson,61
Arthur B Winkleblack MBA,60
Alex Gorsky,59
Sandeep Mahindroo,59
Karen McLoughlin,57
Rajendra Singh Pawar,55
Gordon James Coburn,55
Sudhir Chaturvedi,54
James Francis McCann,54
Timothy J Sloan,53
Robert A Bradway,52
Lamberto Andreotti,51
Ajoyendra Mukherjee,49
Narendra Modi,45
Yousef bin Abdullah Al-Benyan,45
Howard I Atkins,45
S B Ravi Pandit,44
Michael J Graff,44
Nehme Elias Sabbagh,44
William J Chase,43
Shayne Cary Elliott,43
Virginia Jeanson,43
Jatin Pravinchandra Dalal MBA,42
Michael Milone,42
Christopher John Warmoth,42
Philip J Angelastro,42
Annie Fournier,42
Lynn C Swann,41
Sabih Taher Masri,40
Thomas L Harrison,40
Azita Saleki-Gerhardt,39
Paulo Cesar Salles Vasques,39
James Michael Pherous,39
Ronald O Robison MD,39
Timothy J Richmond,38
Herb Boyer,38
Kishor Parshuram Patil,38
Carlos Alban,37
Dennis E Hewitt,37
Marc Maillet,37
Stacia Sherman Garr,36
Rudy Provoost,35
Sujit Ganguli,35
Denise M Morrison,35
Vinod Khosla,35
Mark Furlong,33
John T Chambers,33
Amin Bin Hassan Al Nasser,33
Sandeep Dadlani,33
Guy Laurence,31
Piyush Gupta,31
Jinping Xi,29
Vishal Sikka PhD,29
Munira Abdulnabi Macki,29
Sudha Murty,29
Joseph M Natale,29
Mayo M Schmidt,29
Benoît Potier,29
Mary Claire Choksi,28
Deepak Kumar Mohanty,28
Deborah J Kissire,28
Alan R Batkin,28
Susan S Denison,28
John R Purcell,28
Linda Johnson Rice,28
John R Murphy,28
Leonard S Coleman Jr.,28
William B Graham,27
Stanley M Bergman,27
Richard A Gonzalez,26
Laura J Schumacher,26
Kevin McDearis,26
R.P Sinha,26


Search Summary,
Text,""corporate social responsibility"" AND ""customer*""
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"32,300"
Timestamp,6 May 2018 3:56 AM GMT
"© 2018 Factiva, Inc.  All rights reserved."
