Most Mentioned Executives
30240 documents  for All Dates

Executive,Document Count
Matthew Hall,105
Stanley M Bergman,88
Richard A Noll MBA,84
Brian D Goldner,84
Arne Frank,83
Arvind Thakur,82
Marc Maillet,79
Rajiv Bansal,76
Rajesh Gopinathan,73
Sujit Sircar,73
Vineet Nayyar MBA,67
Alex Gorsky,64
Ashok Vemuri,63
Vishal Sikka PhD,63
Lamberto Andreotti,63
Paulus Gerardus J Polman,62
Francisco D'Souza,62
Rudy Provoost,59
Karen McLoughlin,57
Robert A Bradway,57
Gordon James Coburn,55
Sudhir Chaturvedi,54
Rajendra Singh Pawar,54
"Gerald W Evans Jr., MBA",53
James E Heppelmann,49
Rob Gremley,49
Ajoyendra Mukherjee,48
Yousef bin Abdullah Al-Benyan,46
Sergio Marchionne,46
William J Chase,44
Herb Boyer,44
Sherry M Smith,44
S B Ravi Pandit,43
Jatin Pravinchandra Dalal MBA,42
Richard Garneau,42
Denise M Morrison,42
Jinping Xi,41
Matthew E Rubel,41
Deborah M Thomas,41
U. B Pravin Rao,41
Azita Saleki-Gerhardt,40
Sophie Argiriou,40
Ronald O Robison MD,40
Timothy J Richmond,39
James Michael Pherous,39
Carlos Alban,38
Mark Moody-Stuart,38
Kishor Parshuram Patil,38
Terence L O'Day,38
Vinod Khosla,36
Narendra Modi,35
John P Bilbrey,35
James Joseph Murren CFA,34
Amin Bin Hassan Al Nasser,33
Richard S Young,32
Debbie Hancock,32
John Jacob Philip Elkann,30
Keqiang Li,30
Connie L Lindsey,30
Patrick Berard,29
Vishal Sikka PhD,29
Navin Dyal,28
John T Chambers,28
Keith D Jackson,28
William B Graham,27
Richard A Noll,27
Russell David Ball,27
Timothy Donald Cook,27
Laura J Schumacher,26
Jose E Rivera Jr.,26
Alfredo Altavilla,26
Brent G. J Bergeron,26
Richard A Gonzalez,25
Cynthia Blum Carroll,25
Yukihiro Nitta,25
Andrew Burnes,25
Barack Obama,25
Seth Kursman,25
Michael Duke,24
Freda C Lewis-Hall,24
Arun Jain,24
David B Fischer,24
William H Gates III,24
Vernon R Loucks Jr.,24
Jeffrey M Stutz,24
Pierre Beaudoin,24
Robert L Parkinson,23
Suresh Chandra Senapaty,23
Christopher R Lattanzi,23
Alan Richard Hill,23
Richard D Moss MBA,23
Alan Joseph Joyce,22
Kevin J Veltman,22
Steven Paladino,22


Search Summary,
Text,""corporate social responsibility"" and (supplier* or ""supply chain*"")
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"30,739"
Timestamp,9 May 2018 5:31 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
