Most Mentioned Executives
1633 documents  for All Dates

Executive,Document Count
Jinping Xi,16
Paul Singer,8
Laurence Douglas Fink,8
Paulus Gerardus J Polman,7
Steve Jobs,7
Robert A Iger,7
James Dimon,7
Howard D Schultz,7
Guy Laliberté,6
Ratan Naval Tata,6
Warren Edward Buffett,6
Indra K Nooyi,6
Nelson Peltz,6
Timothy Donald Cook,6
Carl Celian Icahn,5
John P Mackey,5
Barack Obama,5
Donald John Trump,5
Mark Elliot Zuckerberg,5
Clifton S Robbins,5
Rex W Tillerson,5
Rupert Murdoch,5
Colin Mayer,5
Daniel Ammann,4
James Njuguna Mwangi,4
Kevin Slaten,4
Stephen Allen Schwarzman,4
Marc Russell Benioff,4
Jeffrey A Sonnenfeld,4
Kenneth C Frazier,4
Randall L Stephenson,4
Peter Andreas Thiel,4
Mary Teresa Barra,4
Lars Rebien Sørensen,4
Travis Kalanick,3
Thein Sein,3
Nitin Nohria,3
Bharat Vasani,3
John Carney,3
Kenneth Gerard Langone MBA,3
Marianne Lake,3
Cyrus Pallonji Mistry,3
James Rupert Murdoch,3
Estelle Brachlianoff,3
Margaret Blair,3
John Alfred Paulson,3
Charles Ernest Grassley,3
Graeme David Pitkethly,3
Kevin McDearis,3
Yao Ming,3
Michael Richard Pence,3
Michael Useem,3
Thomas Joseph Barrack Jr.,3
Anthony Francis Fernandes,3
Daniel Lucius Vasella,3
Kevin A Plank MBA,3
Stephen K Bannon,3
W James McNerney Jr.,3
Ivan G Seidenberg,3
Dave Mccurdy,3
Robert P Stiller,3
Steven Alan Cohen,3
Eric E Schmidt PhD,3
Elon Reeve Musk,3
William H Gates III,3
Mukesh Dhirubhai Ambani,3
Keith Weed,3
Roger Martin,3
Farida Khambata,3
Maria Contreras-Sweet,3
Martin Winterkorn,3
Katherine Lucy Garrett-Cox,2
John Francis McGloin,2
Steve Howard,2
Brian C Cornell,2
Malcolm Pein,2
Christopher Anthony Hohn MBA,2
Jared Kushner,2
David Cameron,2
Peter H Löscher,2
Lynne Weedall,2
Judith F Samuelson,2
Bernardus Cornelis Adriana Margriet van Beurden,2
Johannes Peter Huth,2
Alison J Carnwath,2
Sean McGrath,2
Keqiang Li,2
Peter Hain,2
Amanda Medress,2
Jean Marc Duvoisin,2
Laurent Auguste,2
Robert Weinstein,2
Shinzo Abe,2
Subramanian Swamy,2
Justin Pierre James Trudeau,2


Search Summary,
Text,""corporate social responsibility"" and environment*
Date,All Dates
Source,The New York Times - All sources Or The Wall Street Journal - All sources Or Washington Post - All sources Or USA Today - All sources Or Chicago Tribune - All sources Or Financial Times (Available through Third Party Subscription Services) - All sources Or Los Angeles Times - All sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"1,684"
Timestamp,11 May 2018 9:24 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
