sic2,sic2_cgov_str,sic2_com_str,sic2_div_str,sic2_emp_str,sic2_env_str,sic2_hum_str,sic2_pro_str,sic2_cgov_con,sic2_com_con,sic2_div_con,sic2_emp_con,sic2_env_con,sic2_hum_con,sic2_pro_con
1,19,9,30,37,24,9,4,34,18,37,41,49,29,41
2,1,0,0,0,0,0,1,1,3,3,4,0,0,5
7,0,0,0,0,0,0,0,2,0,14,3,0,0,0
10,53,65,33,96,108,89,6,57,43,85,117,152,65,8
12,3,1,0,9,6,0,0,9,10,20,25,44,0,0
13,228,123,133,389,315,229,16,396,137,695,450,751,105,103
14,5,2,15,6,18,2,0,18,18,35,16,8,0,3
15,17,19,18,4,37,3,17,95,23,77,63,22,0,67
16,34,17,50,45,30,1,5,60,17,91,82,19,19,44
17,7,0,3,17,5,0,0,20,0,40,2,0,0,0
20,116,156,542,271,391,20,116,279,67,228,363,223,35,210
21,3,32,67,30,38,12,8,43,19,15,41,4,9,111
22,3,0,7,7,23,0,3,11,0,13,18,0,0,10
23,27,14,112,47,32,6,11,88,3,81,138,9,78,16
24,31,22,45,70,88,3,11,20,10,72,41,53,6,35
25,26,13,64,62,97,0,28,52,0,74,82,9,17,18
26,43,57,145,186,260,2,50,87,18,109,153,156,4,68
27,17,33,243,54,39,0,35,76,5,74,78,14,0,26
28,311,414,1464,1024,1032,12,381,970,186,1170,808,746,49,948
29,25,70,90,128,75,30,4,65,75,69,101,238,51,34
30,40,39,85,109,84,7,10,51,16,92,97,27,13,56
31,30,27,68,36,14,6,2,25,0,38,40,0,28,9
32,20,13,16,65,60,0,0,32,0,79,33,30,2,33
33,30,10,44,225,110,17,15,85,38,185,158,214,8,39
34,49,14,53,68,125,3,13,99,5,177,139,65,15,86
35,227,240,849,721,729,23,184,639,60,819,607,218,63,190
36,219,186,767,1053,743,28,214,690,66,1237,522,153,103,165
37,138,80,310,365,396,7,76,297,63,414,362,407,69,208
38,206,123,526,342,399,4,234,534,17,758,350,81,24,182
39,45,74,116,64,40,5,27,83,5,103,78,4,28,49
40,6,6,45,91,34,0,15,39,51,31,53,67,0,38
41,1,0,6,1,0,0,0,6,0,9,12,0,0,3
42,44,14,41,57,42,0,5,45,9,151,99,2,0,12
44,6,0,8,30,41,1,10,44,21,85,31,37,4,26
45,30,31,123,197,68,0,41,53,2,90,102,11,0,68
46,0,2,0,0,0,4,0,2,4,7,1,13,0,2
47,1,6,28,10,4,0,9,27,3,68,12,0,0,11
48,87,149,529,230,126,10,72,314,46,430,300,31,44,235
49,214,295,874,813,761,35,44,336,385,332,528,1309,82,514
50,52,11,161,151,35,4,32,173,1,239,114,28,0,12
51,36,35,166,56,65,13,33,142,9,149,122,35,5,85
52,0,22,41,35,28,0,6,33,7,30,33,13,0,22
53,30,92,269,133,85,0,29,128,23,130,221,36,74,143
54,22,30,70,73,46,0,16,46,0,63,105,6,3,37
55,13,10,38,34,12,0,22,80,6,163,104,89,0,24
56,38,32,315,141,27,14,14,130,5,107,132,3,65,26
57,16,18,51,33,17,0,5,37,1,31,43,0,6,20
58,35,53,295,105,77,2,25,139,1,219,239,8,17,62
59,48,32,255,70,48,9,30,135,12,143,168,12,13,104
60,783,587,1076,588,184,19,294,552,288,957,266,12,22,369
61,49,76,214,120,69,6,89,118,34,138,47,9,12,113
62,73,52,251,262,65,9,37,236,7,296,69,6,15,226
63,180,231,784,299,178,9,92,479,65,538,241,32,4,457
64,6,4,54,36,19,0,6,45,2,42,18,0,0,39
65,16,20,68,49,34,3,8,40,2,74,37,4,2,13
67,153,47,295,533,318,63,186,420,28,1197,237,42,28,90
70,4,13,107,31,31,4,11,41,13,32,37,2,2,17
72,1,8,43,19,4,0,1,38,4,44,8,0,0,38
73,351,256,1432,1018,394,15,225,953,63,1451,583,56,51,232
75,6,1,55,7,18,0,1,27,6,29,48,5,0,19
78,16,0,39,22,9,0,1,25,0,41,21,0,0,14
79,21,4,66,23,33,0,4,95,7,134,81,0,4,79
80,44,10,134,48,22,0,44,188,12,197,127,1,0,147
81,0,0,5,0,0,0,0,5,0,5,0,0,0,0
82,16,4,41,29,11,0,9,52,0,54,19,0,0,47
83,8,4,28,8,0,0,0,15,0,22,15,0,0,17
87,50,6,160,121,52,2,27,174,7,246,73,7,9,45
99,24,47,103,83,51,0,21,59,30,38,46,113,30,52
