Most Mentioned Executives
25049 documents  for All Dates

Executive,Document Count
Rajiv Bansal,127
Vishal Sikka PhD,108
Michael P Gianoni,95
U. B Pravin Rao,90
Rana Kapoor MBA,88
Arvind Thakur,82
Sujit Sircar,81
Rajesh Gopinathan,79
Brian T Moynihan,75
Richard S Young,75
Vineet Nayyar MBA,68
Sandeep Mahindroo,68
Alex Gorsky,66
Ashok Vemuri,63
Lamberto Andreotti,63
Francisco D'Souza,62
Brian D Goldner,61
Gordon James Coburn,61
William Paul Chawrun,60
Karen McLoughlin,57
Robert A Bradway,57
Rajendra Singh Pawar,55
Navin Dyal,54
Sudhir Chaturvedi,54
Jean-Bernard Lévy,51
Ajoyendra Mukherjee,50
Yousef bin Abdullah Al-Benyan,45
William J Chase,44
Herb Boyer,44
Michael J Graff,44
Christopher R Lattanzi,44
Alan Richard Hill,44
Alan R Thomas,44
S B Ravi Pandit,43
Jatin Pravinchandra Dalal MBA,42
Nehme Elias Sabbagh,42
Shayne Cary Elliott,42
Virginia Jeanson,42
Annie Fournier,42
John T Chambers,41
Darren Entwistle,41
Azita Saleki-Gerhardt,40
Vishal Sikka PhD,40
Sabih Taher Masri,40
Ronald O Robison MD,40
David Savarie,40
Timothy J Richmond,39
Sudha Murty,39
James Michael Pherous,39
Carlos Alban,38
Edward S Goldenberg,38
Kishor Parshuram Patil,38
Gregg Saretsky,38
Frank David Wheatley,37
James Joseph Murren CFA,36
Stacia Sherman Garr,36
Sujit Ganguli,35
Kathy Sipos,35
Mark Furlong,34
Vinod Khosla,34
Sandeep Dadlani,34
Paulus Gerardus J Polman,33
Robert P Kelly,33
James Dimon,33
N R Narayana Murthy,30
Jeffrey Sean Lehman,30
Ariel P Vera,30
Amin Bin Hassan Al Nasser,30
William H Gates III,30
Robert L Parkinson,29
Narendra Modi,28
Michael J Ward MBA,28
William B Graham,27
Lata N Reddy,27
Harry Taylor,26
Laura J Schumacher,26
Jose E Rivera Jr.,26
R.P Sinha,26
Connie L Lindsey,26
Chengyu Fu,26
Ashwin Bajaj,26
Atul Agarwal PhD,26
Richard A Gonzalez,25
Andrew Burnes,25
Arun Jain,25
Benoît Potier,25
William Christopher,24
Olivier M Jarrault,24
Freda C Lewis-Hall,24
Vernon R Loucks Jr.,24
Deepak Kumar Mohanty,23
Julius Samson,23
Nicole McGougan,23
Denise M Morrison,23
Suresh Chandra Senapaty,23
Dileep Chinubhai Choksi,23
Rajiv Sabharwal,23
Jeanne Renard,22
Alan Joseph Joyce,22


Search Summary,
Text,""corporate social responsibility"" AND ""employee*""
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"25,392"
Timestamp,6 May 2018 4:13 AM GMT
"© 2018 Factiva, Inc.  All rights reserved."
