Most Mentioned Executives
173373 documents  for All Dates

Executive,Document Count
Narendra Modi,547
Brian D Goldner,228
Nicole McGougan,218
Narendra Modi,194
Jean-Paul Agon,194
Srinivas Bommidala,182
Hajime Sasaki,162
Mario Valcarce Duran,162
Gregg Saretsky,155
Giampiero Pesenti,143
Carlo Pesenti,143
Ratan Naval Tata,137
Lata N Reddy,134
William H Gates III,131
Barack Obama,127
Jeffrey A Joerres,127
Stanley M Bergman,124
Svein Aaser,123
Howard Henry James Stevenson,120
Jinping Xi,119
Ronald F Hochstein,119
Stephen Joseph Harper,117
Donald John Trump,108
Douglas L Tobler CPA,105
Shigeharu Suzuki,103
Akira Kiyota,103
Arne Solberg,103
Walter Hafslo Qvam,103
Finn Marum Jebsen,103
Johnny Løcka,103
Marc Maillet,99
Paulus Gerardus J Polman,98
Matthew Hall,98
Debbie Hancock,95
Connie L Lindsey,93
Manmohan Singh,92
Philippe Bordenave,90
Michel Pébereau,88
Noriyuki Inoue,87
Mukesh Dhirubhai Ambani,87
Mark Elliot Zuckerberg,85
Janis Romanovskis,85
Michael P Gianoni,84
Eileen Howard Boone,82
Julie Duffy,81
Deborah M Thomas,81
Goodluck Jonathan,80
Warren Edward Buffett,80
Sophia Shane,79
Denise M Morrison,78
David Cameron,77
John A Frascotti,77
Cyrus Pallonji Mistry,76
Mohamad Najib Abdul Razak,74
Mushtaq Ahmad,73
John T Chambers,72
Arne Frank,69
Sherif Fawzy Omara,67
Brian Stanley Findlay,67
Saeed Mohammed Ahmed Al-Tayer,67
Atiur Rahman,65
Nobuyuki Iwamoto,64
Aaron W Regent,64
Justin Pierre James Trudeau,63
David A Gardella,63
Hasan Cebeci,62
Arundhati Bhattacharya,61
Syed Wamiq Abrar Bokhari,60
Hillary Rodham Clinton,59
Richard Garneau,59
Anastasios Parisis Kallitsantsis,59
Dimitrios Parisis Kallitsantsis,59
Dimitrios Athanasios Koutras,59
Harry Taylor,58
Mallikarjuna Rao Grandhi,58
Manuel Velez Pangilinan,58
Indra K Nooyi,58
Jayant Sinha,57
Ping Li,55
Konosuke Kashima,54
Azim Hasham Premji,54
Truman Hunt,54
Crayton W Webb,53
Seth Kursman,53
Richard A Noll MBA,52
Peter Munk,52
Rahul Gandhi,51
Dimitrios Th Papalexopoulos,51
Rupert Murdoch,51
François Poisson,51
Lirong Shi,49
Ying Chun Hai,48
Kevin T Kabat,48
Sudha Murty,47
Shiv Nadar,45


Search Summary,
Text,""corporate social responsibility"" NOT ""environment*"" not ""employee*"" not ""customer*"" not ""supplier*""
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"176,889"
Timestamp,8 May 2018 5:20 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
