Most Mentioned Executives
10772 documents  for All Dates

Executive,Document Count
Arne Frank,83
Arvind Thakur,82
Rajesh Gopinathan,73
Sujit Sircar,73
Stanley M Bergman,70
Marc Maillet,68
Vineet Nayyar MBA,65
Alex Gorsky,64
Rajiv Bansal,63
Ashok Vemuri,63
Lamberto Andreotti,63
Francisco D'Souza,62
Karen McLoughlin,54
Sudhir Chaturvedi,54
Rajendra Singh Pawar,54
Gordon James Coburn,54
Robert A Bradway,54
Rudy Provoost,51
Vishal Sikka PhD,49
Yousef bin Abdullah Al-Benyan,45
Herb Boyer,44
S B Ravi Pandit,43
Ajoyendra Mukherjee,43
Jatin Pravinchandra Dalal MBA,42
William J Chase,41
James Michael Pherous,39
U. B Pravin Rao,39
Azita Saleki-Gerhardt,38
Carlos Alban,38
Timothy J Richmond,38
Kishor Parshuram Patil,38
Ronald O Robison MD,38
Amin Bin Hassan Al Nasser,33
Vinod Khosla,32
William B Graham,26
Jose E Rivera Jr.,26
Vishal Sikka PhD,26
Russell David Ball,26
Brent G. J Bergeron,26
Andrew Burnes,25
James Joseph Murren CFA,24
Freda C Lewis-Hall,24
Arun Jain,24
Laura J Schumacher,23
Suresh Chandra Senapaty,23
Richard A Gonzalez,22
Alan Joseph Joyce,22
Keith D Jackson,22
Pierre Beaudoin,22
Patrick Berard,21
Andrea Simone,21
Kimberly L Hammonds MBA,21
Vernon R Loucks Jr.,21
Peter G Watson,20
Abdullah bin Mohammad Al-Qahtani,20
Robert L Parkinson,20
Laura D Brown,20
Jeffrey Sean Lehman,19
Jinping Xi,18
Narendra Modi,18
John T Chambers,18
Jerry Wayne Danni,18
Paul B Nahi,17
Michael Duke,17
Todd A Becker,17
Steven Paladino,17
Sergio Marchionne,17
Victor Lee,16
Natarajan Narayanasamy,16
John M Leonard,16
King Abdullah,16
Li Yanjiang,16
Joe Micucci,16
Cinzia Burnes,16
Liu Ming Hui,16
Krishnakumar Natarajan,16
Kris Sennesael MBA,16
Sudha Murty,16
Massimo John Borghetti,16
Sanjay Tugnait,15
Edward Lau,15
Arvind K Sood,15
Matt Eichmann,15
Charles W Shaver,15
Govind Singhal,15
Sandeep Dadlani,15
James Alton Hughes,15
Carlos M Cardoso,15
Timothy Donald Cook,15
Keqiang Li,14
Gerry Turner,14
Wenche Marie Agerup,14
Steve Cannon,14
David Hall,14
Eberhard Weiblen,13
Jeff L Kime,13
Lori L Wade,13
John A Forbes,13
Pankaj Sathe,13
Craig N Russell,13


Search Summary,
Text,""corporate social responsibility"" AND ""supplier*""
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"10,956"
Timestamp,6 May 2018 4:04 AM GMT
"© 2018 Factiva, Inc.  All rights reserved."
