Most Mentioned Executives
68019 documents  for All Dates

Executive,Document Count
Narendra Modi,160
Ronald F Hochstein,125
Rana Kapoor MBA,106
Jinping Xi,96
Rajiv Bansal,91
Arvind Thakur,83
Rajesh Gopinathan,82
Vishal Sikka PhD,81
Sujit Sircar,81
Saeed Mohammed Ahmed Al-Tayer,78
Sophia Shane,76
Vineet Nayyar MBA,76
Bruce Perlowin,72
Paulus Gerardus J Polman,67
Alex Gorsky,67
U. B Pravin Rao,66
Francisco D'Souza,65
Ashok Vemuri,63
Lamberto Andreotti,63
Brian D Goldner,60
Barack Obama,59
Marc Maillet,59
Michael P Gianoni,59
Robert A Bradway,59
Naveen Jindal MBA,58
Richard S Young,57
Rajendra Singh Pawar,55
Gordon James Coburn,55
Ashwin Bajaj,55
Karen McLoughlin,54
Sudhir Chaturvedi,54
John T Chambers,54
Tetsuya Nomura,53
Ajoyendra Mukherjee,53
William H Gates III,53
Narendra Modi,50
Manmohan Singh,49
James E Heppelmann,49
Rob Gremley,49
Savitri Devi Jindal,48
Donald John Trump,48
Yousef bin Abdullah Al-Benyan,46
Anil Kumar Agarwal,46
Robert F Friel,46
Ratan Naval Tata,46
Gregg Saretsky,46
Sergio Marchionne,46
Navin Dyal,44
William J Chase,44
Herb Boyer,44
S B Ravi Pandit,44
Nehme Elias Sabbagh,44
Michael J Graff,43
Virginia Jeanson,43
Annie Fournier,43
Jatin Pravinchandra Dalal MBA,42
Roberto Poli,42
Mario Resca,42
Kwek Leng Joo,42
Manuel Velez Pangilinan,42
Shayne Cary Elliott,42
Rudy Provoost,41
David Brandstätter,41
Kent J Thiry,41
Andreas Schmidt,41
Matthias Mahn,41
William Paul Chawrun,40
Azita Saleki-Gerhardt,40
Sabih Taher Masri,40
Ignacio Benjumea Cabeza de Vaca,40
Ronald O Robison MD,40
Hillary Rodham Clinton,39
Timothy J Richmond,39
James Michael Pherous,39
Carlos Alban,38
Keqiang Li,38
Kishor Parshuram Patil,38
Sudha Murty,38
Matthew Hall,38
Raoul Restucci,36
Goodluck Jonathan,36
Nicholas Teasdale,36
Vinod Khosla,36
Darren Entwistle,36
Christopher R Lattanzi,36
Sujit Ganguli,35
Connie L Lindsey,35
Sandeep Mahindroo,35
Alan Richard Hill,35
Alan R Thomas,35
Brent G. J Bergeron,35
Elizabeth A Duke,34
Russell David Ball,34
Stanley M Bergman,34
David Savarie,33
Mukesh Dhirubhai Ambani,32
Edward S Goldenberg,31
Guy Laurence,31


Search Summary,
Text,""corporate social responsibility"" AND ""environment*""
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"68,905"
Timestamp,9 May 2018 4:56 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
