Most Mentioned Executives
118750 documents  for All Dates

Executive,Document Count
Narendra Modi,482
Jean-Paul Agon,191
Srinivas Bommidala,180
Narendra Modi,173
Hajime Sasaki,162
Mario Valcarce Duran,162
Gregg Saretsky,124
Ratan Naval Tata,117
Shigeharu Suzuki,103
Akira Kiyota,103
Arne Solberg,103
Walter Hafslo Qvam,103
Finn Marum Jebsen,103
Johnny Løcka,103
Jeffrey A Joerres,96
Noriyuki Inoue,87
William H Gates III,87
Janis Romanovskis,85
Stephen Joseph Harper,83
Barack Obama,80
Manmohan Singh,79
Howard Henry James Stevenson,70
Mukesh Dhirubhai Ambani,69
Mohamad Najib Abdul Razak,68
Sherif Fawzy Omara,67
Brian Stanley Findlay,67
Jinping Xi,66
Nobuyuki Iwamoto,64
Julie Duffy,62
Douglas L Tobler CPA,62
Harry Taylor,61
Goodluck Jonathan,60
Syed Wamiq Abrar Bokhari,59
Mushtaq Ahmad,59
Aaron W Regent,59
Mallikarjuna Rao Grandhi,58
Brian D Goldner,58
Cyrus Pallonji Mistry,57
Donald John Trump,55
David Cameron,54
Konosuke Kashima,54
Debbie Hancock,53
Crayton W Webb,52
Indra K Nooyi,52
Atiur Rahman,51
Dimitrios Th Papalexopoulos,51
Eileen Howard Boone,51
Warren Edward Buffett,50
Ed Sims,49
Azim Hasham Premji,49
Rahul Gandhi,48
Arundhati Bhattacharya,47
Paulus Gerardus J Polman,47
Denise M Morrison,46
Mark Elliot Zuckerberg,46
Lata N Reddy,46
Justin Pierre James Trudeau,44
Manohar Lal Khattar,43
Wee Cho Yaw,43
Peter Munk,43
Jamie C Sokalsky,42
Sudha Murty,41
Jayant Sinha,41
Saeed Mohammed Ahmed Al-Tayer,40
Rupert Murdoch,40
Shiv Nadar,39
Kiran Mazumdar-Shaw,39
Stanley M Bergman,39
Muppavarapu Venkaiah Naidu,38
Daniel Paul Amos,37
Adi Burjorji Godrej,37
Robert Cummings,37
Seth Kursman,37
Hillary Rodham Clinton,36
David Arkless,36
Samir Jimy Fancy,36
Martin Milette,36
Nita Mukesh Ambani,35
Rahul Kumar Bajaj,35
Vishal Goenka,35
Wee Ee Cheong,34
Connie L Lindsey,34
N R Narayana Murthy,33
Nitin Jairam Gadkari,33
Anil Kumar Agarwal,33
Jeff M Fettig,33
Roy W Templin,33
Ann Swain,33
Manuel Velez Pangilinan,33
Devendra Gangadharrao Fadnavis,32
John T Chambers,32
Marc Kielburger,32
Richard Bartrem,31
Colin Dyer,31
Peter Michael Bertram,31
Sunil Bharti Mittal,31
Adel Mustafawi,30
Richard Nixon,30
Mamata Banerjee,29


Search Summary,
Text,"""corporate social responsibility"" NOT environment* not employee* not customer* not (supplier* or ""supply chain*"")
"
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"121,397"
Timestamp,11 May 2018 9:34 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
