Most Mentioned Executives
1127 documents  for All Dates

Executive,Document Count
Warren Edward Buffett,11
William H Gates III,11
Mark Elliot Zuckerberg,10
Steve Jobs,9
James Dimon,9
Paulus Gerardus J Polman,8
Jinping Xi,7
Robert A Iger,7
Rupert Murdoch,7
Howard D Schultz,7
Marc Russell Benioff,6
Ratan Naval Tata,6
Eric E Schmidt PhD,6
Indra K Nooyi,6
Nelson Peltz,6
Timothy Donald Cook,6
Gustavo Martinez,5
Marc Lowell Andreessen,5
Peter Andreas Thiel,5
Barack Obama,5
Donald John Trump,5
Oleg Vladimirovich Deripaska,5
Pavel Sergeevich Grachev,5
Clifton S Robbins,5
Alexei Leonidovich Kudrin,5
Vladimir Vladimirovich Putin,5
Colin Mayer,5
Travis Kalanick,4
Mohamad Najib Abdul Razak,4
Tamara Ingram,4
Kate Robertson,4
Stephen Allen Schwarzman,4
Kenneth C Frazier,4
John G Stumpf,4
John P Mackey,4
Louisa Wong,4
Jeffrey P Bezos,4
Chengyu Fu,4
Mary Teresa Barra,4
Roger Martin,4
Debbi Jarvis,4
Lars Rebien Sørensen,4
Nitin Nohria,3
Bharat Vasani,3
John Carney,3
Kenneth Gerard Langone MBA,3
Cyrus Pallonji Mistry,3
James Rupert Murdoch,3
Vijay Shekhar Sharma,3
Estelle Brachlianoff,3
Margaret Blair,3
Carl Celian Icahn,3
John Alfred Paulson,3
Shinzo Abe,3
Dilma Vana Rousseff,3
Parminder Singh,3
Graeme David Pitkethly,3
Kevin McDearis,3
João Adalberto Elek Jr.,3
Yao Ming,3
Michael Richard Pence,3
Michael Useem,3
Narendra Modi,3
Scott Farquhar,3
Thomas Joseph Barrack Jr.,3
Jeffrey A Sonnenfeld,3
Anthony Francis Fernandes,3
Daniel Lucius Vasella,3
Kevin A Plank MBA,3
Paul Singer,3
Randall L Stephenson,3
Stephen Alan Michael Hester,3
Sundar Pichai MBA,3
Stephen K Bannon,3
W James McNerney Jr.,3
Steven Alan Cohen,3
Elon Reeve Musk,3
Alan Yarrow,3
Mukesh Dhirubhai Ambani,3
Lloyd Craig Blankfein,3
Keith Weed,3
Farida Khambata,3
Maria Contreras-Sweet,3
Satya Nadella,3
Bill Gates Sr,3
Martin Winterkorn,3
John Herweh,2
Katherine Lucy Garrett-Cox,2
Susan O'brien,2
Leslie M Turner,2
Jared Kushner,2


Search Summary,
Text,""corporate social responsibility"" and employee*
Date,All Dates
Source,The New York Times - All sources Or The Wall Street Journal - All sources Or Washington Post - All sources Or USA Today - All sources Or Chicago Tribune - All sources Or Financial Times (Available through Third Party Subscription Services) - All sources Or Los Angeles Times - All sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"1,170"
Timestamp,11 May 2018 9:19 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
