Most Mentioned Executives
626 documents  for All Dates

Executive,Document Count
Jinping Xi,8
Nelson Peltz,6
Timothy Donald Cook,6
Howard D Schultz,6
John P Mackey,5
Clifton S Robbins,5
Rupert Murdoch,5
Theresa Mary May,5
Daniel Ammann,4
Kevin Slaten,4
Mikhail Borisovich Khodorkovskiy,4
Kenneth C Frazier,4
Warren Edward Buffett,4
Jonathan David Blum,4
Barack Obama,4
Jing-Shyh Su MBA,4
John C Kornitzer,4
Travis Kalanick,3
John Carney,3
James Rupert Murdoch,3
Steve Jobs,3
Michael Richard Pence,3
Marc Russell Benioff,3
Kevin A Plank MBA,3
Randall L Stephenson,3
Robert A Iger,3
Dave Mccurdy,3
Greg Creed,3
Elon Reeve Musk,3
Kenneth R Feinberg,3
Mary Teresa Barra,3
Darren Tristano,3
Indra K Nooyi,3
Roger Martin,3
James Dimon,3
Martin Winterkorn,3
John Liu,2
Jared Kushner,2
Peter H Löscher,2
Paulus Gerardus J Polman,2
Jean Marc Duvoisin,2
Raynald Aeschlimann,2
Daryl Foriest,2
Yukihiro Nitta,2
John Anderson Kay,2
Rajeev Misra,2
Martin Shkreli,2
John Bernard Sauven,2
Richard Greenfield,2
Carolyn Julie Fairbairn,2
Claire Divver,2
Nicholas Woodman,2
Amanda Mackenzie,2
Gavin E Patterson,2
Robert Duffy,2
John Terence Rogers,2
Leo Martin,2
Jeffrey R Immelt,2
Dennis Jonsson,2
Michael Duke,2
Hugh Jones,2
Domenico de Sole,2
Stephen K Bannon,2
Daniel Diermeier,2
Stephen Urquhart,2
Lynn Forester de Rothschild,2
Mark Elliot Zuckerberg,2
Robert B Zoellick,2
Marc Jacobs,2
Peter Simpson,2
William H Gates III,2
Brian M Krzanich,2
Oprah G Winfrey,2
Jeffrey E Williams,2
Scott Nova,2
Tommy Hilfiger,2
Franck Riboud,2
Maria Contreras-Sweet,2
Carlos Alves de Brito,2
Colin Mayer,2
Leonard Alan Lauder,1
Thomas Albanese,1
Edward Scott Pruitt,1
Cynthia Blum Carroll,1
Duncan Tait,1


Search Summary,
Text,"""corporate social responsibility"" and (supplier* or ""supply chain*"")
"
Date,All Dates
Source,The New York Times - All sources Or The Wall Street Journal - All sources Or Washington Post - All sources Or USA Today - All sources Or Chicago Tribune - All sources Or Financial Times (Available through Third Party Subscription Services) - All sources Or Los Angeles Times - All sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,656
Timestamp,11 May 2018 9:28 PM GMT
"© 2018 Factiva, Inc.  All rights reserved."
